Zip,First city,First county,First Region,Avg Monthly Wholesales in period,Avg Monthly Retail Sales in Period 2,Population,Per Capita Retail Sales,Total Sales,MedianAge,HouseHolder15to24,HouseHolder25to34,HouseHolder35to44,HouseHolder45to54,HouseHolder55to59,HouseHolder60to64,HouseHolder65to74,HouseHolder75to84,Households,HouseHolder85over,Households2Person,Households3Person,Households4Person,Households5Person,Households6Person,Households7PlusPerson,HouseholdsWith60Plus,HouseholdsWith75Plus,HusbandWifeHouseholds,MedianAgeFemale,MedianAgeMale,NonFamilyHouseholds,PopulationAmerindian,PopulationFemale,PopulationMale,PopulationRaceAsian,PopulationRaceBlack,PopulationRaceLatino,PopulationRaceMulti,PopulationRaceOther,PopulationRacePacific,PopulationRaceWhite,SingleFatherHousehold,SingleMotherHousehold,Total Units,Total Wholesale Price,PPs,Retailers
,Burlington,"",405 Corridor,$17486,$22069.00,,,$441380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53464,$349720,101,1
98002,Auburn,King,Greater Tacoma,$393430,$645001.52,31647,$12.43,$23220055,34.8,653,2257,2234,2614,1094,946,1311,864,12495,222,6842,2679,1550,765,352,301,3998,1538,4665,35.9,33.7,5058,0.021708219,16083,15564,0.04313205,0.049704553,0.177078396,0.042531678,0.00088476,0.024457295,0.640503049,841,1931,2145809,$14163491,276,4
98003,Federal Way,King,Greater Tacoma,,,44151,,,34.7,1041,3199,3214,3619,1530,1277,1660,924,17250,332,9504,3579,2121,1096,515,429,5285,1969,6863,36.5,32.8,6777,0.007700845,22808,21343,0.125365224,0.104595592,0.18264592,0.050236688,0.002332903,0.030984576,0.496138253,1042,2568,,,,4
98004,Bellevue,King,405 Corridor,$391726,$604033.69,27946,$14.02,$22953280,39.6,771,2838,2427,2356,972,930,1327,1124,13320,416,8843,2434,1406,485,118,34,4228,1835,5946,41.4,37.7,6245,0.002361698,14052,13894,0.212051814,0.019287197,0.043297789,0.031059901,0.003005797,0.001252415,0.687683389,352,777,1692601,$14885594,146,3
98005,Bellevue,King,405 Corridor,$181822,$285412.32,17714,$10.26,$10274843,38.1,338,1596,1381,1517,657,564,800,556,7539,138,4439,1595,992,333,115,64,2275,788,3800,39.9,36.2,2958,0.002314553,8784,8930,0.256971887,0.02303263,0.068476911,0.032234391,0.003500056,0.00112905,0.612340522,248,533,727519,$6545592,173,5
98006,Bellevue,King,405 Corridor,$152588,$210124.58,36364,$4.20,$1260747,42.4,266,1239,2521,3775,1513,1255,1548,1178,13288,252,6429,2955,2659,899,245,100,4534,1423,8877,43.5,41.2,2940,0.00203498,18369,17995,0.300626994,0.01597734,0.03396216,0.037922121,0.002584974,0.002117479,0.604773952,429,1042,101734,$915530,42,1
98007,Bellevue,King,405 Corridor,$99291,$149720.58,24889,$3.99,$1347485,32,674,3207,1836,1576,651,573,808,590,10315,208,5613,2556,1306,489,219,125,2663,1118,4802,33.2,31.2,4143,0.003535699,12063,12826,0.357788581,0.030053437,0.134557435,0.033348065,0.002611595,0.002049098,0.436056089,414,956,143291,$893615,59,1
98012,Bothell,King,405 Corridor,$277734,$484280.09,51136,$5.43,$18886923,35.9,732,3725,4440,4440,1875,1445,1557,810,19448,250,9699,4541,3329,1215,455,207,4919,1479,11191,36.5,35.3,5756,0.004830257,25940,25196,0.166262516,0.018401909,0.071632509,0.038035826,0.001994681,0.003383135,0.695459168,796,1705,1427817,$10831611,278,5
98020,Edmonds,Snohomish,Seattle,,,18304,,,50.1,138,601,1010,1632,926,911,1327,1068,8247,370,5473,1402,917,323,91,40,4161,1842,4322,51.8,48.1,3098,0.005791084,9771,8533,0.051464161,0.012073864,0.031960227,0.025950612,0.00152972,0.001802885,0.869427448,239,588,,,,1
98021,Bothell,King,405 Corridor,$86472,$120721.45,26722,$3.24,$1810822,38.2,226,1540,2261,2383,1046,816,951,608,10006,192,4984,2272,1771,645,223,109,2899,947,6139,38.9,37.4,2756,0.004977172,13531,13191,0.144787067,0.013472046,0.051605419,0.036299678,0.001534316,0.001571739,0.745752563,372,739,182613,$1297079,102,1
98026,Edmonds,Snohomish,Seattle,$171127,$243336.57,35921,$4.76,$4380058,42.5,396,1773,2467,3508,1749,1448,1726,1046,14373,312,7965,3204,2058,728,249,164,4992,1548,7483,43.7,41.2,4803,0.006848362,18504,17417,0.095877064,0.030400045,0.063361265,0.041535592,0.00197656,0.004231508,0.755769606,614,1473,480219,$3080280,222,4
98027,Issaquah,King,405 Corridor,$240666,$413437.45,26141,$9.21,$14056873,41.1,209,1418,2214,2611,1214,926,1059,654,10454,180,5839,2274,1570,515,164,91,3160,945,6022,41.9,40.3,3317,0.004093187,13356,12785,0.096515053,0.011131938,0.053670479,0.029646915,0.002256991,0.001491909,0.801193527,316,799,1131122,$8182650,112,2
98028,Kenmore,King,405 Corridor,$61554,$99095.78,20419,$3.01,$2873778,39.6,206,1154,1634,1861,861,724,792,548,7981,174,4149,1853,1323,420,145,89,2504,868,4410,40.5,38.5,2495,0.00367305,10299,10120,0.104510505,0.016014496,0.070228709,0.038395612,0.002791518,0.002742544,0.761643567,348,728,261789,$1785058,70,1
98030,Kent,King,Greater Tacoma,,,33769,,,32.4,571,2432,2518,2779,1010,799,860,478,11900,168,5647,2592,1779,982,499,393,3174,1126,5382,33.6,31.1,3906,0.005863366,16937,16832,0.171607095,0.120287838,0.136752643,0.049927448,0.003109361,0.01291125,0.499540999,774,1838,,,,1
98032,Kent,King,Greater Tacoma,,,33853,,,32.7,878,2995,2659,2767,1158,970,1117,476,13393,122,7438,2885,1538,802,396,328,3380,981,4861,33.3,32,5841,0.009570791,16663,17190,0.115735681,0.108734824,0.229787611,0.046288364,0.002599474,0.029244085,0.458039169,846,1845,,,,3
98033,Kirkland,King,405 Corridor,$54830,$84878.73,34338,$1.60,$1273181,39.3,493,2779,3228,3390,1452,1265,1404,776,15249,276,9302,3250,1877,597,144,73,4310,1409,7263,40.2,38.3,6459,0.002912226,17561,16777,0.10408294,0.01278467,0.048546799,0.036373697,0.002853981,0.00232978,0.790115907,489,1038,134961,$822448,69,2
98034,Kirkland,King,405 Corridor,$328257,$525266.24,40407,$8.12,$18909584,36.4,735,3675,3511,3516,1531,1337,1527,752,16891,170,9449,3951,2274,797,254,160,4406,1258,7893,38.1,34.9,6752,0.003588487,20390,20017,0.12614151,0.019006608,0.088153043,0.039968322,0.005815824,0.002499567,0.714826639,719,1527,1656590,$11817251,189,3
98036,Lynnwood,Snohomish,Seattle,$59859,$87692.02,36000,$1.66,$2806145,36.7,600,2252,2634,3169,1420,1128,1260,750,13643,186,6832,3105,2213,940,322,228,4094,1392,6794,38,35.6,4668,0.007944444,18161,17839,0.146027778,0.042777778,0.108055556,0.039583333,0.002027778,0.005888889,0.647694444,722,1459,247437,$1915498,96,4
98037,Lynnwood,Snohomish,Seattle,,,26889,,,37.2,461,1677,1990,2255,1008,822,1010,584,10112,164,5146,2185,1589,689,298,200,3195,1082,4840,38.8,35.5,3477,0.007772695,13741,13148,0.197181003,0.045371713,0.094611179,0.043995686,0.002194206,0.004946261,0.603927256,547,1248,,,,2
98038,Maple Valley,King,Greater Tacoma,$164446,$224613.88,31171,$5.28,$3593822,36.8,150,1495,2783,3001,1066,779,959,526,10854,130,4813,2439,2249,898,310,145,2728,787,7270,37.1,36.4,2238,0.005421706,15597,15574,0.037534888,0.017516281,0.052228032,0.03817651,0.001796542,0.003111867,0.844214173,442,904,391376,$2631137,122,2
98042,Covington,King,Greater Tacoma,$187740,$277353.37,43673,$4.30,$8875308,38,273,1946,3130,4288,1745,1273,1536,784,15097,154,6855,3385,2745,1244,551,315,4369,1181,9574,38.7,37.3,3277,0.006640258,21871,21802,0.087170563,0.038009754,0.080255535,0.043734115,0.001900488,0.005312207,0.73697708,751,1495,753637,$6007669,159,3
98043,Mountlake Terrace,Snohomish,Seattle,$116447,$171765.55,19943,$5.84,$3607077,36.6,357,1605,1584,1864,804,643,668,470,8205,138,4427,2008,1078,406,172,113,2280,816,3384,38.2,35,3304,0.009477009,10201,9742,0.11021411,0.041668756,0.105300105,0.051246051,0.001855288,0.007722008,0.672516673,465,1052,352718,$2445390,176,2
98050,Preston,"",405 Corridor,,,322,,,46.3,0,5,20,44,14,21,10,4,117,0,52,31,25,7,2,0,41,4,88,47.5,44.8,22,0,148,174,0,0,0.01863354,0.01552795,0,0,0.965838509,5,2,,,,1
98052,Redmond,King,405 Corridor,$79226,$129183.27,58442,$1.36,$1162649,34.5,1152,6135,5642,4488,1718,1550,1670,910,24008,304,13256,5357,3718,1135,338,191,5524,1869,12739,35.7,33.4,8856,0.002515314,28732,29710,0.241401732,0.015468328,0.074963211,0.032784641,0.005150406,0.001539988,0.62617638,791,1622,116425,$713034,72,4
98056,Renton,King,405 Corridor,$160287,$260122.49,32489,$4.93,$8063797,35.9,603,2606,2908,2822,1134,893,1123,622,12964,170,6962,2913,1791,763,315,214,3405,1046,5858,36.2,35.7,5006,0.00433993,16357,16132,0.193111515,0.070239158,0.145926314,0.04466127,0.002154575,0.004432269,0.535134969,702,1398,658635,$4968902,125,1
98057,Renton,King,405 Corridor,$286612,$474763.85,10613,$27.01,$14717679,37.6,272,1032,982,943,452,382,463,202,5127,82,3356,972,442,203,95,56,1579,659,1341,37.9,37.2,2949,0.008197494,5286,5327,0.158861773,0.187882785,0.130688778,0.044473759,0.001319137,0.007820597,0.460755677,250,587,1325908,$8884964,236,6
98070,Vashon,"",Seattle,,,10624,,,50.2,49,231,621,1129,731,648,692,386,4606,126,2806,985,548,181,54,31,2048,568,2364,50.8,49.4,1706,0.004518072,5474,5150,0.016189759,0.007624247,0.040850904,0.028520331,0.002353163,0.000470633,0.899472892,153,383,,,,2
98072,Woodinville,King,405 Corridor,$64183,$93294.76,22312,$2.88,$2612253,40.8,177,988,1740,2235,1008,823,798,364,8434,128,4277,1858,1486,544,179,90,2581,777,5215,41.9,39.5,2331,0.00376479,11197,11115,0.085021513,0.009680889,0.055530656,0.032000717,0.003002868,0.0016583,0.809340265,269,619,221587,$1797120,95,2
98087,Lynnwood,Snohomish,Seattle,$244941,$390200.07,29976,$8.17,$12096202,32.6,809,2837,2545,2353,985,779,749,300,11546,82,5654,2933,1724,751,281,202,2533,673,5327,33.2,31.9,4203,0.006638644,14926,15050,0.200593808,0.054143315,0.113090472,0.045970109,0.001868161,0.007272485,0.570423005,711,1305,1174871,$7593171,323,6
98092,Auburn,King,Greater Tacoma,$4194,$5536.03,39816,$0.11,$27680,35.1,821,2211,2833,3555,1422,1195,1283,754,14129,172,6671,3148,2336,1107,500,362,3840,1033,7909,36.1,34,3946,0.038024915,20060,19756,0.101290938,0.038075146,0.081851517,0.041239703,0.001682741,0.007434197,0.690400844,722,1552,4581,$20968,14,1
98103,Seattle,King,Seattle,$431243,$698398.78,45911,$9.39,$25840755,34.4,1410,7170,5105,3365,1864,1456,1167,450,22724,268,13670,5827,2260,668,196,84,4193,1304,7169,34.3,34.4,13758,0.004813661,23244,22667,0.074622639,0.023523774,0.05048899,0.042582388,0.002875128,0.001524689,0.799568731,597,1200,2285299,$15955988,301,10
98105,Seattle,King,Seattle,$98199,$158924.75,43924,$2.24,$4608818,23.1,4734,3635,2244,1757,988,830,885,482,15939,234,8925,3663,1931,809,269,163,2795,944,4495,22.8,23.5,10304,0.003551589,21730,22194,0.185137966,0.020239505,0.047308988,0.051452509,0.002413259,0.002618159,0.687278026,405,735,438741,$2847761,208,2
98106,Seattle,King,Seattle,$164936,$247105.28,22873,$7.21,$7166053,34.5,363,1969,2172,1861,879,630,692,366,9018,84,4570,2317,1159,509,236,222,2126,569,3352,34.9,34.2,3681,0.010798758,11585,11288,0.202247191,0.111878634,0.151576094,0.050452499,0.002404582,0.012634984,0.458007257,551,1434,784461,$4783142,211,7
98107,Seattle,King,Seattle,$150496,$245455.31,21147,$7.12,$6872749,35.5,541,3511,2538,1692,853,725,714,218,11284,134,7313,2798,877,221,47,25,2301,770,3198,35.3,35.6,7225,0.007235069,10725,10422,0.048139216,0.019908261,0.049321417,0.038397881,0.002222537,0.002175249,0.832600369,268,593,628344,$4213897,62,4
98109,Seattle,King,Seattle,$45147,$76258.39,20715,$2.18,$2287752,34.2,1053,4613,2429,1510,711,605,694,336,12419,154,9121,2578,533,135,40,8,2219,837,2756,33.6,34.6,9127,0.006082549,10265,10450,0.080811007,0.039536568,0.05141202,0.037846971,0.00183442,0.002848178,0.779628289,165,371,225715,$1354405,103,1
98110,Bainbridge Island,Kitsap,Olympics,$107472,$172047.55,23025,$4.67,$4989379,47.7,132,500,1431,2339,1338,1248,1425,728,9470,222,5633,1811,1414,442,119,49,4057,1161,5698,48.4,46.8,2859,0.003865364,11898,11127,0.031921824,0.004039088,0.038523344,0.033615635,0.001520087,0.001824104,0.884690554,242,671,383350,$3116701,144,2
98112,Seattle,King,Seattle,$241644,$359723.52,21077,$11.46,$8273641,39.4,472,2142,2050,1769,867,918,1035,492,10139,192,6216,2350,1089,351,92,30,3035,964,3804,39.5,39.3,5547,0.002182474,10768,10309,0.054277174,0.053802723,0.036817384,0.03743417,0.001660578,0.000948902,0.812876595,223,565,921829,$5557823,222,2
98115,Seattle,King,Seattle,,,46206,,,37.6,1011,4189,4241,3800,1925,1730,1634,1084,20456,504,11640,4861,2808,794,231,95,5767,2082,9043,38.3,37,9611,0.003614249,23778,22428,0.095095875,0.019348137,0.042029174,0.043414275,0.002575423,0.001363459,0.792559408,500,1302,,,,1
98116,Seattle,King,Seattle,$125120,$204075.38,22241,$5.63,$2652980,41.9,260,1952,2390,2323,1097,970,1050,498,11104,274,7263,2416,1058,282,61,22,3314,1130,4165,42.9,41.1,5945,0.006114833,11601,10640,0.047210107,0.017984803,0.044467425,0.037992896,0.002068252,0.00179848,0.842363203,275,719,204166,$1626554,73,1
98117,Seattle,King,Seattle,$215698,$344457.07,31365,$6.88,$11367083,39.7,250,2340,3441,2877,1541,1158,1043,568,13667,292,7612,3507,1892,453,134,56,3581,1146,6450,40.2,39.3,5831,0.005770764,16007,15358,0.049290611,0.016005101,0.048971784,0.035134704,0.002359318,0.000988363,0.841479356,407,979,1019560,$7118045,174,3
98118,Seattle,King,Seattle,$72164,$107280.84,42731,$1.69,$1072808,38,364,2127,3350,3156,1686,1402,1644,980,15127,402,7135,3613,2116,1092,568,597,5352,1767,6294,38.8,37.2,5421,0.00432941,21938,20793,0.324237673,0.253797009,0.080503616,0.04767031,0.002246613,0.008284384,0.278930987,923,2489,128855,$721640,85,1
98119,Seattle,King,Seattle,$88039,$145987.01,21039,$4.18,$2773753,33.7,845,3078,2170,1636,793,736,764,284,10682,122,7335,2326,691,233,62,23,2270,697,2939,32.8,34.8,7150,0.005180855,11009,10030,0.06064927,0.022196872,0.049859784,0.03983079,0.001568516,0.001425923,0.819287989,199,394,258290,$1672746,107,1
98121,Seattle,King,Seattle,$461134,$694459.57,12628,$36.52,$13889191,34.8,951,3084,1560,1256,547,497,474,130,8668,32,7354,1222,80,10,2,0,1327,316,1272,33.6,35.8,7189,0.010057016,5581,7047,0.141748495,0.067469116,0.063984796,0.038961039,0.001900538,0.003484321,0.672394678,76,131,1489519,$9222677,167,2
98122,Seattle,King,Seattle,$541475,$871748.50,31454,$17.21,$33126443,32.1,1939,4903,3325,2196,889,808,888,402,15717,178,9996,3909,1128,412,157,100,2663,836,2963,30.9,33,11260,0.00750302,15022,16432,0.095281999,0.165956635,0.074648693,0.050359255,0.002543397,0.003370001,0.600337,355,1139,2900093,$20576044,229,2
98125,Seattle,King,Seattle,$284618,$460740.95,37081,$7.68,$17047415,37.7,1201,3523,3039,3083,1641,1363,1436,884,17169,384,10518,3849,1798,593,249,146,5183,2069,6095,39.1,36.3,8817,0.007604973,18897,18184,0.150454411,0.075321593,0.081173647,0.048434508,0.002723767,0.004908174,0.629378927,687,1570,1572617,$10530869,281,6
98133,Seattle,King,Seattle,$431934,$652465.95,44555,$9.69,$23488774,39.2,1232,3658,3491,3810,1874,1619,1918,1118,20180,572,12406,4357,2106,758,322,209,6742,2808,7070,41,37.3,10380,0.009000112,22942,21613,0.157849849,0.066995848,0.079407474,0.046347211,0.002738189,0.004354169,0.633307148,858,1872,1979217,$15549636,353,9
98134,Seattle,King,Seattle,$604702,$943109.69,644,$938.98,$37724388,43.1,9,48,42,38,15,17,16,2,205,4,151,43,11,0,0,0,57,22,18,40.3,44.1,162,0.051242236,213,431,0.158385093,0.152173913,0.065217391,0.040372671,0.00621118,0.00621118,0.520186335,5,20,3151432,$24188077,388,12
98136,Seattle,King,Seattle,$49475,$76640.95,14770,$3.35,$919691,42.8,136,1051,1511,1593,753,662,634,354,7069,180,4406,1691,722,185,41,22,2201,795,2938,43,42.6,3448,0.00534868,7767,7003,0.044888287,0.023493568,0.049966148,0.039539607,0.001489506,0.002505078,0.832769127,205,478,88992,$593699,63,2
98144,Seattle,King,Seattle,$37444,$61271.48,26881,$1.39,$980344,38.1,392,2227,2537,2116,1021,926,1138,710,11511,284,6519,2743,1288,531,230,186,3610,1333,3799,38.7,37.6,5747,0.007402998,13308,13573,0.24329452,0.178490384,0.113649046,0.050407351,0.002194859,0.003682899,0.400877944,532,1433,114644,$599100,97,2
98148,Burien,King,Seattle,$167004,$228529.04,10010,$16.68,$3884994,37,189,748,809,875,424,326,432,178,4230,74,2455,878,512,206,95,82,1326,483,1547,38.4,35.3,1895,0.008091908,4962,5048,0.096103896,0.07962038,0.193306693,0.048051948,0.002897103,0.02027972,0.551648352,254,534,430412,$2839060,145,1
98155,Lake Forest Park,King,Seattle,$162639,$221700.65,32778,$4.96,$6429319,41.6,327,1810,2485,3005,1658,1278,1334,886,13231,316,7322,3048,1812,665,230,147,4462,1566,6465,43,40.4,4866,0.006528769,16572,16206,0.128287266,0.042742083,0.062084325,0.045518335,0.002806761,0.002745744,0.709286717,566,1334,728705,$4716539,210,4
98168,Burien,King,Seattle,$279970,$419987.62,33734,$8.30,$13859592,34.5,449,2001,2531,2709,1130,954,1027,576,11678,228,5546,2470,1566,995,522,569,3490,1093,4941,34.6,34.5,4221,0.010879232,16264,17470,0.174245568,0.114691409,0.221882967,0.044524812,0.002579,0.026649671,0.404547341,875,1641,1587078,$9239022,274,7
98178,Seattle,King,Seattle,$340039,$507087.72,24092,$14.11,$17748070,38,221,1220,1721,1917,987,807,879,612,8668,258,4280,1916,1202,597,336,330,3135,1133,3629,38.6,37.4,2948,0.006143118,12235,11857,0.284077702,0.287813382,0.073924954,0.062012286,0.002407438,0.00950523,0.274115889,556,1535,1837713,$11901375,284,5
98198,Des Moines,King,Greater Tacoma,$289455,$515722.46,34584,$8.37,$19081731,37.5,539,2090,2501,2873,1281,1070,1252,906,13106,362,7316,2636,1622,837,365,325,4338,1705,5589,38.8,36.3,4985,0.010207032,17352,17232,0.107853343,0.104759426,0.179418228,0.042158223,0.00130118,0.026139255,0.528163313,757,1775,1570587,$10709826,205,2
98201,Everett,Snohomish,Northwest Region,$98096,$184677.12,29582,$3.32,$7017731,37,666,2114,2108,2708,1335,1036,1185,476,12443,224,7901,2391,1181,519,245,189,3833,1390,3921,39.1,35.4,6513,0.015752823,13992,15590,0.039280644,0.036610101,0.099689,0.035697384,0.001149348,0.008991955,0.762828747,619,1390,664649,$3727662,163,4
98203,Everett,Snohomish,Northwest Region,$353334,$533626.57,34354,$10.29,$19744183,37.5,542,2206,2619,3239,1330,1134,1264,774,13425,232,7214,2974,1839,775,345,263,4013,1291,6196,38.4,36.7,4851,0.00978052,17384,16970,0.070792339,0.029894627,0.107643942,0.038510799,0.001513652,0.005064912,0.736799208,751,1627,1625923,$13073361,260,2
